Debug File version: Ver 1.0
Creator: Designer
Creator version: v11.5 SP3
Creator build: 11.5.3.10
External die name: M2S010
Package: 484 FBGA
Design Name: FIC
Probe A IO: available for probe A
Probe B IO: not available for probing
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_7_rs[0]:reg_apb_wrp_0/reg16x8_0/mem_7_[0]:Q Type=0 ADDR=0x140007 (WADDR=0x14 BADDR=0x0 PRBR=0x0 CLOFFSET=0x7)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_6_rs[7]:reg_apb_wrp_0/reg16x8_0/mem_6_[7]:Q Type=0 ADDR=0x17010E (WADDR=0x17 BADDR=0x0 PRBR=0x1 CLOFFSET=0xE)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_2_rs[4]:reg_apb_wrp_0/reg16x8_0/mem_2_[4]:Q Type=0 ADDR=0x230015 (WADDR=0x23 BADDR=0x0 PRBR=0x0 CLOFFSET=0x15)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_3_rs[6]:reg_apb_wrp_0/reg16x8_0/mem_3_[6]:Q Type=0 ADDR=0x158015 (WADDR=0x15 BADDR=0x2 PRBR=0x0 CLOFFSET=0x15)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_131_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_131_rs:Q Type=0 ADDR=0x1B8009 (WADDR=0x1B BADDR=0x2 PRBR=0x0 CLOFFSET=0x9)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_9_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_9_set:Q Type=0 ADDR=0x1A030D (WADDR=0x1A BADDR=0x0 PRBR=0x3 CLOFFSET=0xD)
ProbePoint: Name=CoreGPIO_0.xhdl1.GEN_BITS[6].APB_32.GPOUT_reg[6]:CoreGPIO_0/xhdl1_GEN_BITS[6]_APB_32_GPOUT_reg[6]:Q Type=0 ADDR=0x50218 (WADDR=0x5 BADDR=0x0 PRBR=0x2 CLOFFSET=0x18)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[25][4]:CoreGPIO_0/xhdl1_GEN_BITS[25]_REG_GEN_CONFIG_reg[25][4]:Q Type=0 ADDR=0xB0017 (WADDR=0xB BADDR=0x0 PRBR=0x0 CLOFFSET=0x17)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_4_rs[1]:reg_apb_wrp_0/reg16x8_0/mem_4_[1]:Q Type=0 ADDR=0x20810B (WADDR=0x20 BADDR=0x2 PRBR=0x1 CLOFFSET=0xB)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[3][5]:CoreGPIO_0/xhdl1_GEN_BITS[3]_REG_GEN_CONFIG_reg[3][5]:Q Type=0 ADDR=0xA8213 (WADDR=0xA BADDR=0x2 PRBR=0x2 CLOFFSET=0x13)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_132_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_132_rs:Q Type=0 ADDR=0x1F810C (WADDR=0x1F BADDR=0x2 PRBR=0x1 CLOFFSET=0xC)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_10_rs[3]:reg_apb_wrp_0/reg16x8_0/mem_10_[3]:Q Type=0 ADDR=0x18810C (WADDR=0x18 BADDR=0x2 PRBR=0x1 CLOFFSET=0xC)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[24][0]:CoreGPIO_0/xhdl1_GEN_BITS[24]_REG_GEN_CONFIG_reg[24][0]:Q Type=0 ADDR=0x28216 (WADDR=0x2 BADDR=0x2 PRBR=0x2 CLOFFSET=0x16)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[15][1]:CoreGPIO_0/xhdl1_GEN_BITS[15]_REG_GEN_CONFIG_reg[15][1]:Q Type=0 ADDR=0x30315 (WADDR=0x3 BADDR=0x0 PRBR=0x3 CLOFFSET=0x15)
ProbePoint: Name=CoreGPIO_0/edge_neg[15]:CoreGPIO_0/xhdl1_GEN_BITS[15]_APB_32_edge_pos[15]:Q Type=0 ADDR=0x40312 (WADDR=0x4 BADDR=0x0 PRBR=0x3 CLOFFSET=0x12)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[23][5]:CoreGPIO_0/xhdl1_GEN_BITS[23]_REG_GEN_CONFIG_reg[23][5]:Q Type=0 ADDR=0x28213 (WADDR=0x2 BADDR=0x2 PRBR=0x2 CLOFFSET=0x13)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[8][0]:CoreGPIO_0/xhdl1_GEN_BITS[8]_REG_GEN_CONFIG_reg[8][0]:Q Type=0 ADDR=0x30016 (WADDR=0x3 BADDR=0x0 PRBR=0x0 CLOFFSET=0x16)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[13][0]:CoreGPIO_0/xhdl1_GEN_BITS[13]_REG_GEN_CONFIG_reg[13][0]:Q Type=0 ADDR=0x90018 (WADDR=0x9 BADDR=0x0 PRBR=0x0 CLOFFSET=0x18)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[12][2]:CoreGPIO_0/xhdl1_GEN_BITS[12]_REG_GEN_CONFIG_reg[12][2]:Q Type=0 ADDR=0x38318 (WADDR=0x3 BADDR=0x2 PRBR=0x3 CLOFFSET=0x18)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[9][1]:CoreGPIO_0/xhdl1_GEN_BITS[9]_REG_GEN_CONFIG_reg[9][1]:Q Type=0 ADDR=0xA8217 (WADDR=0xA BADDR=0x2 PRBR=0x2 CLOFFSET=0x17)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_121_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_121_set:Q Type=0 ADDR=0x11000E (WADDR=0x11 BADDR=0x0 PRBR=0x0 CLOFFSET=0xE)
ProbePoint: Name=CoreGPIO_0/edge_neg[23]:CoreGPIO_0/xhdl1_GEN_BITS[23]_APB_32_edge_both[23]:Q Type=0 ADDR=0x50212 (WADDR=0x5 BADDR=0x0 PRBR=0x2 CLOFFSET=0x12)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_34_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_34_set:Q Type=0 ADDR=0x230313 (WADDR=0x23 BADDR=0x0 PRBR=0x3 CLOFFSET=0x13)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_191_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_191_rs:Q Type=0 ADDR=0x11000B (WADDR=0x11 BADDR=0x0 PRBR=0x0 CLOFFSET=0xB)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_219_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_219_rs:Q Type=0 ADDR=0x1A010A (WADDR=0x1A BADDR=0x0 PRBR=0x1 CLOFFSET=0xA)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[14][3]:CoreGPIO_0/xhdl1_GEN_BITS[14]_REG_GEN_CONFIG_reg[14][3]:Q Type=0 ADDR=0x68211 (WADDR=0x6 BADDR=0x2 PRBR=0x2 CLOFFSET=0x11)
ProbePoint: Name=CoreGPIO_0.xhdl1.GEN_BITS[27].APB_32.GPOUT_reg[27]:CoreGPIO_0/xhdl1_GEN_BITS[27]_APB_32_GPOUT_reg[27]:Q Type=0 ADDR=0x88013 (WADDR=0x8 BADDR=0x2 PRBR=0x0 CLOFFSET=0x13)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[12][6]:CoreGPIO_0/xhdl1_GEN_BITS[12]_REG_GEN_CONFIG_reg[12][6]:Q Type=0 ADDR=0x68216 (WADDR=0x6 BADDR=0x2 PRBR=0x2 CLOFFSET=0x16)
