pin,slack
CoreGPIO_0/xhdl1_GEN_m3_e_1:A,4027
CoreGPIO_0/xhdl1_GEN_m3_e_1:B,3739
CoreGPIO_0/xhdl1_GEN_m3_e_1:C,3991
CoreGPIO_0/xhdl1_GEN_m3_e_1:Y,3739
CoreAPB3_0/CoreAPB3_m2_0_a2_5_1:A,6020
CoreAPB3_0/CoreAPB3_m2_0_a2_5_1:B,5914
CoreAPB3_0/CoreAPB3_m2_0_a2_5_1:C,4155
CoreAPB3_0/CoreAPB3_m2_0_a2_5_1:D,3237
CoreAPB3_0/CoreAPB3_m2_0_a2_5_1:Y,3237
CoreGPIO_0/edge_both_2_sqmuxa_30_i:A,2171
CoreGPIO_0/edge_both_2_sqmuxa_30_i:B,7691
CoreGPIO_0/edge_both_2_sqmuxa_30_i:Y,2171
reg_apb_wrp_0/reg16x8_0/mem_7_[0]:ADn,
reg_apb_wrp_0/reg16x8_0/mem_7_[0]:ALn,4749
reg_apb_wrp_0/reg16x8_0/mem_7_[0]:CLK,5910
reg_apb_wrp_0/reg16x8_0/mem_7_[0]:D,6914
reg_apb_wrp_0/reg16x8_0/mem_7_[0]:EN,4733
reg_apb_wrp_0/reg16x8_0/mem_7_[0]:LAT,
reg_apb_wrp_0/reg16x8_0/mem_7_[0]:Q,5910
reg_apb_wrp_0/reg16x8_0/mem_7_[0]:SD,
reg_apb_wrp_0/reg16x8_0/mem_7_[0]:SLn,
reg_apb_wrp_0/reg16x8_0/mem_6_[7]:ADn,
reg_apb_wrp_0/reg16x8_0/mem_6_[7]:ALn,4749
reg_apb_wrp_0/reg16x8_0/mem_6_[7]:CLK,5917
reg_apb_wrp_0/reg16x8_0/mem_6_[7]:D,6716
reg_apb_wrp_0/reg16x8_0/mem_6_[7]:EN,4733
reg_apb_wrp_0/reg16x8_0/mem_6_[7]:LAT,
reg_apb_wrp_0/reg16x8_0/mem_6_[7]:Q,5917
reg_apb_wrp_0/reg16x8_0/mem_6_[7]:SD,
reg_apb_wrp_0/reg16x8_0/mem_6_[7]:SLn,
CoreGPIO_0/xhdl1_GEN_BITS[28]_APB_32_INTR_reg_373_0_o2_0_0[28]:A,5907
