@W: MO111 :"d:\practice\fic\component\work\fic\osc_0\fic_osc_0_osc.v":20:7:20:16|Tristate driver XTLOSC_O2F on net XTLOSC_O2F has its enable tied to GND (module FIC_OSC_0_OSC) 
@W: MO111 :"d:\practice\fic\component\work\fic\osc_0\fic_osc_0_osc.v":19:7:19:16|Tristate driver XTLOSC_CCC on net XTLOSC_CCC has its enable tied to GND (module FIC_OSC_0_OSC) 
@W: MO111 :"d:\practice\fic\component\work\fic\osc_0\fic_osc_0_osc.v":18:7:18:20|Tristate driver RCOSC_1MHZ_O2F on net RCOSC_1MHZ_O2F has its enable tied to GND (module FIC_OSC_0_OSC) 
@W: MO111 :"d:\practice\fic\component\work\fic\osc_0\fic_osc_0_osc.v":17:7:17:20|Tristate driver RCOSC_1MHZ_CCC on net RCOSC_1MHZ_CCC has its enable tied to GND (module FIC_OSC_0_OSC) 
@W: MO111 :"d:\practice\fic\component\work\fic\osc_0\fic_osc_0_osc.v":16:7:16:24|Tristate driver RCOSC_25_50MHZ_O2F on net RCOSC_25_50MHZ_O2F has its enable tied to GND (module FIC_OSC_0_OSC) 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[7\]\.gpin1[7] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[8\]\.gpin1[8] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[9\]\.gpin1[9] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[10\]\.gpin1[10] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[11\]\.gpin1[11] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[12\]\.gpin1[12] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[13\]\.gpin1[13] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[14\]\.gpin1[14] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[15\]\.gpin1[15] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[16\]\.gpin1[16] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[17\]\.gpin1[17] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[18\]\.gpin1[18] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[19\]\.gpin1[19] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[20\]\.gpin1[20] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[21\]\.gpin1[21] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[22\]\.gpin1[22] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[23\]\.gpin1[23] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[24\]\.gpin1[24] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[25\]\.gpin1[25] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[26\]\.gpin1[26] reduced to a combinational gate by constant propagation 
