pin,slack
reg_apb_wrp_0/reg16x8_0/un1_data_out8_80_set:ADn,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_80_set:ALn,4780
reg_apb_wrp_0/reg16x8_0/un1_data_out8_80_set:CLK,4802
reg_apb_wrp_0/reg16x8_0/un1_data_out8_80_set:D,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_80_set:EN,3299
reg_apb_wrp_0/reg16x8_0/un1_data_out8_80_set:LAT,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_80_set:Q,4802
reg_apb_wrp_0/reg16x8_0/un1_data_out8_80_set:SD,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_80_set:SLn,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_285:A,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_285:B,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_285:C,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_285:IPA,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_285:IPB,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_142:A,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_142:B,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_142:C,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_142:IPB,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_66:A,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_66:B,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_66:C,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_66:IPA,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_66:IPB,
COREAPBLSRAM_0/PRDATA_reg[20]:ADn,
COREAPBLSRAM_0/PRDATA_reg[20]:ALn,
COREAPBLSRAM_0/PRDATA_reg[20]:CLK,6752
COREAPBLSRAM_0/PRDATA_reg[20]:D,6540
COREAPBLSRAM_0/PRDATA_reg[20]:EN,4297
COREAPBLSRAM_0/PRDATA_reg[20]:LAT,
COREAPBLSRAM_0/PRDATA_reg[20]:Q,6752
COREAPBLSRAM_0/PRDATA_reg[20]:SD,
COREAPBLSRAM_0/PRDATA_reg[20]:SLn,
COREAPBLSRAM_0/PRDATA_reg[19]:ADn,
COREAPBLSRAM_0/PRDATA_reg[19]:ALn,
COREAPBLSRAM_0/PRDATA_reg[19]:CLK,6763
COREAPBLSRAM_0/PRDATA_reg[19]:D,6521
COREAPBLSRAM_0/PRDATA_reg[19]:EN,4297
COREAPBLSRAM_0/PRDATA_reg[19]:LAT,
COREAPBLSRAM_0/PRDATA_reg[19]:Q,6763
COREAPBLSRAM_0/PRDATA_reg[19]:SD,
COREAPBLSRAM_0/PRDATA_reg[19]:SLn,
COREAPBLSRAM_0/genblk1_genblk1_lsram_512to35328x32_block0/block0/CFG_23:B,7263
COREAPBLSRAM_0/genblk1_genblk1_lsram_512to35328x32_block0/block0/CFG_23:C,4535
COREAPBLSRAM_0/genblk1_genblk1_lsram_512to35328x32_block0/block0/CFG_23:IPB,7263
COREAPBLSRAM_0/genblk1_genblk1_lsram_512to35328x32_block0/block0/CFG_23:IPC,4535
reg_apb_wrp_0/reg16x8_0/mem_10__RNISPDJ[2]:A,4899
reg_apb_wrp_0/reg16x8_0/mem_10__RNISPDJ[2]:B,
reg_apb_wrp_0/reg16x8_0/mem_10__RNISPDJ[2]:C,4757
reg_apb_wrp_0/reg16x8_0/mem_10__RNISPDJ[2]:Y,4757
reg_apb_wrp_0/reg16x8_0/un1_data_out8_179:A,6762
reg_apb_wrp_0/reg16x8_0/un1_data_out8_179:B,4867
reg_apb_wrp_0/reg16x8_0/un1_data_out8_179:C,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_179:Y,4867
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_93:A,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_93:B,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_93:C,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_93:IPA,
GPIO_OUT_1_obuf[6]/U0/U_IOPAD:D,
GPIO_OUT_1_obuf[6]/U0/U_IOPAD:E,
GPIO_OUT_1_obuf[6]/U0/U_IOPAD:PAD,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_46:A,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_46:B,4845
reg_apb_wrp_0/reg16x8_0/un1_data_out8_46:C,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_46:Y,4845
reg_apb_wrp_0/reg16x8_0/mem_10_[0]:ADn,
reg_apb_wrp_0/reg16x8_0/mem_10_[0]:ALn,4867
reg_apb_wrp_0/reg16x8_0/mem_10_[0]:CLK,4757
reg_apb_wrp_0/reg16x8_0/mem_10_[0]:D,7136
reg_apb_wrp_0/reg16x8_0/mem_10_[0]:EN,3299
reg_apb_wrp_0/reg16x8_0/mem_10_[0]:LAT,
reg_apb_wrp_0/reg16x8_0/mem_10_[0]:Q,4757
reg_apb_wrp_0/reg16x8_0/mem_10_[0]:SD,
reg_apb_wrp_0/reg16x8_0/mem_10_[0]:SLn,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_50:A,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_50:B,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_50:C,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_50:IPA,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_185:A,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_185:B,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_185:C,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_185:IPA,
hello_regs_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_185:IPB,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_50_set:ADn,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_50_set:ALn,4890
reg_apb_wrp_0/reg16x8_0/un1_data_out8_50_set:CLK,4938
reg_apb_wrp_0/reg16x8_0/un1_data_out8_50_set:D,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_50_set:EN,3299
reg_apb_wrp_0/reg16x8_0/un1_data_out8_50_set:LAT,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_50_set:Q,4938
reg_apb_wrp_0/reg16x8_0/un1_data_out8_50_set:SD,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_50_set:SLn,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_31:A,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_31:B,4890
reg_apb_wrp_0/reg16x8_0/un1_data_out8_31:C,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_31:Y,4890
reg_apb_wrp_0/reg16x8_0/un1_data_out8_52_set_RNIC2OE:A,4984
reg_apb_wrp_0/reg16x8_0/un1_data_out8_52_set_RNIC2OE:B,
reg_apb_wrp_0/reg16x8_0/un1_data_out8_52_set_RNIC2OE:C,4807
reg_apb_wrp_0/reg16x8_0/un1_data_out8_52_set_RNIC2OE:Y,4807
